berkeley_db-CVE-2017-3604, tool 2, berkeley_db    , CVE-2017-3604  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3605, tool 2, berkeley_db    , CVE-2017-3605  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3606, tool 2, berkeley_db    , CVE-2017-3606  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3607, tool 2, berkeley_db    , CVE-2017-3607  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3608, tool 2, berkeley_db    , CVE-2017-3608  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3609, tool 2, berkeley_db    , CVE-2017-3609  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3610, tool 2, berkeley_db    , CVE-2017-3610  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3611, tool 2, berkeley_db    , CVE-2017-3611  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3612, tool 2, berkeley_db    , CVE-2017-3612  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3613, tool 2, berkeley_db    , CVE-2017-3613  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3614, tool 2, berkeley_db    , CVE-2017-3614  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3615, tool 2, berkeley_db    , CVE-2017-3615  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3616, tool 2, berkeley_db    , CVE-2017-3616  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2017-3617, tool 2, berkeley_db    , CVE-2017-3617  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2019-2708, tool 2, berkeley_db    , CVE-2019-2708  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
berkeley_db-CVE-2020-2981, tool 2, berkeley_db    , CVE-2020-2981  , NOT_SET        , PROTECTED_AT_PERIMETER, "Thursday - 1"
firefox-CVE-2003-1492, tool 2, firefox        , CVE-2003-1492  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-0896, tool 2, firefox        , CVE-2007-0896  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-1970, tool 2, firefox        , CVE-2007-1970  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-2176, tool 2, firefox        , CVE-2007-2176  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-3670, tool 2, firefox        , CVE-2007-3670  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-3827, tool 2, firefox        , CVE-2007-3827  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-4013, tool 2, firefox        , CVE-2007-4013  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2007-6715, tool 2, firefox        , CVE-2007-6715  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2008-4059, tool 2, firefox        , CVE-2008-4059  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-1597, tool 2, firefox        , CVE-2009-1597  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-2409, tool 2, firefox        , CVE-2009-2409  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-2469, tool 2, firefox        , CVE-2009-2469  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-4102, tool 2, firefox        , CVE-2009-4102  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-4129, tool 2, firefox        , CVE-2009-4129  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-4130, tool 2, firefox        , CVE-2009-4130  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2009-4630, tool 2, firefox        , CVE-2009-4630  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2011-0064, tool 2, firefox        , CVE-2011-0064  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2012-4929, tool 2, firefox        , CVE-2012-4929  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2012-4930, tool 2, firefox        , CVE-2012-4930  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2016-10196, tool 2, firefox        , CVE-2016-10196 , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2016-7152, tool 2, firefox        , CVE-2016-7152  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2016-7153, tool 2, firefox        , CVE-2016-7153  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2016-9899, tool 2, firefox        , CVE-2016-9899  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5429, tool 2, firefox        , CVE-2017-5429  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5430, tool 2, firefox        , CVE-2017-5430  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5432, tool 2, firefox        , CVE-2017-5432  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5433, tool 2, firefox        , CVE-2017-5433  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
firefox-CVE-2017-5434, tool 2, firefox        , CVE-2017-5434  , NOT_AFFECTED   , NOT_SET        , "Details should be here"
